
c = 1, d = 0, sum = 38
c = 1, d = 2, sum = 56
c = 1, d = 3, sum = 56
c = 1, d = 4, sum = 56
c = 1, d = 5, sum = 56
c = 1, d = 6, sum = 88
c = 1, d = 7, sum = 88
c = 1, d = 14, sum = 60
c = 1, d = 16, sum = 56
c = 1, d = 17, sum = 56
c = 1, d = 18, sum = 88
c = 1, d = 19, sum = 88
c = 1, d = 20, sum = 88
c = 1, d = 21, sum = 88
c = 1, d = 22, sum = 144
c = 1, d = 23, sum = 144
c = 1, d = 30, sum = 100
c = 1, d = 31, sum = 100
c = 1, d = 50, sum = 60
c = 1, d = 54, sum = 100
c = 1, d = 55, sum = 100
c = 1, d = 62, sum = 78
c = 1, d = 63, sum = 78
c = 1, d = 84, sum = 60
c = 1, d = 85, sum = 60
c = 1, d = 86, sum = 100
c = 1, d = 87, sum = 100
c = 1, d = 94, sum = 78
c = 1, d = 95, sum = 78
c = 1, d = 118, sum = 78
c = 1, d = 119, sum = 78
c = 1, d = 126, sum = 72
c = 1, d = 127, sum = 72
c = 1, d = 254, sum = 38
c = 1, d = 255, sum = 38
c = 3, d = 0, sum = 42
c = 3, d = 1, sum = 56
c = 3, d = 4, sum = 66
c = 3, d = 5, sum = 88
c = 3, d = 7, sum = 66
c = 3, d = 12, sum = 54
c = 3, d = 13, sum = 72
c = 3, d = 16, sum = 66
c = 3, d = 17, sum = 88
c = 3, d = 19, sum = 66
c = 3, d = 20, sum = 108
c = 3, d = 21, sum = 144
c = 3, d = 23, sum = 108
c = 3, d = 28, sum = 90
c = 3, d = 29, sum = 120
c = 3, d = 31, sum = 90
c = 3, d = 48, sum = 54
c = 3, d = 49, sum = 72
c = 3, d = 52, sum = 90
c = 3, d = 53, sum = 120
c = 3, d = 55, sum = 90
c = 3, d = 60, sum = 81
c = 3, d = 61, sum = 108
c = 3, d = 63, sum = 81
c = 3, d = 84, sum = 75
c = 3, d = 85, sum = 100
c = 3, d = 87, sum = 75
c = 3, d = 92, sum = 72
c = 3, d = 93, sum = 96
c = 3, d = 95, sum = 72
c = 3, d = 116, sum = 72
c = 3, d = 117, sum = 96
c = 3, d = 119, sum = 72
c = 3, d = 124, sum = 78
c = 3, d = 125, sum = 104
c = 3, d = 127, sum = 78
c = 3, d = 252, sum = 42
c = 3, d = 253, sum = 56
c = 3, d = 255, sum = 42
c = 5, d = 0, sum = 42
c = 5, d = 1, sum = 56
c = 5, d = 2, sum = 66
c = 5, d = 3, sum = 88
c = 5, d = 7, sum = 66
c = 5, d = 10, sum = 54
c = 5, d = 11, sum = 72
c = 5, d = 16, sum = 66
c = 5, d = 17, sum = 88
c = 5, d = 18, sum = 108
c = 5, d = 19, sum = 144
c = 5, d = 21, sum = 66
c = 5, d = 23, sum = 108
c = 5, d = 26, sum = 90
c = 5, d = 27, sum = 120
c = 5, d = 31, sum = 90
c = 5, d = 50, sum = 75
c = 5, d = 55, sum = 75
c = 5, d = 58, sum = 72
c = 5, d = 59, sum = 96
c = 5, d = 63, sum = 72
c = 5, d = 80, sum = 54
c = 5, d = 81, sum = 72
c = 5, d = 82, sum = 90
c = 5, d = 83, sum = 120
c = 5, d = 85, sum = 54
c = 5, d = 87, sum = 90
c = 5, d = 90, sum = 81
c = 5, d = 91, sum = 108
c = 5, d = 95, sum = 81
c = 5, d = 114, sum = 72
c = 5, d = 115, sum = 96
c = 5, d = 119, sum = 72
c = 5, d = 122, sum = 78
c = 5, d = 123, sum = 104
c = 5, d = 127, sum = 78
c = 5, d = 250, sum = 42
c = 5, d = 251, sum = 56
c = 5, d = 255, sum = 42
c = 7, d = 0, sum = 55
c = 7, d = 1, sum = 88
c = 7, d = 3, sum = 66
c = 7, d = 5, sum = 66
c = 7, d = 8, sum = 60
c = 7, d = 9, sum = 96
c = 7, d = 11, sum = 72
c = 7, d = 13, sum = 72
c = 7, d = 16, sum = 90
c = 7, d = 17, sum = 144
c = 7, d = 19, sum = 108
c = 7, d = 21, sum = 108
c = 7, d = 23, sum = 90
c = 7, d = 24, sum = 100
c = 7, d = 25, sum = 160
c = 7, d = 27, sum = 120
c = 7, d = 29, sum = 120
c = 7, d = 31, sum = 100
c = 7, d = 48, sum = 75
c = 7, d = 49, sum = 120
c = 7, d = 53, sum = 90
c = 7, d = 55, sum = 75
c = 7, d = 56, sum = 90
c = 7, d = 57, sum = 144
c = 7, d = 59, sum = 108
c = 7, d = 61, sum = 108
c = 7, d = 63, sum = 90
c = 7, d = 80, sum = 75
c = 7, d = 81, sum = 120
c = 7, d = 83, sum = 90
c = 7, d = 85, sum = 90
c = 7, d = 87, sum = 75
c = 7, d = 88, sum = 90
c = 7, d = 89, sum = 144
c = 7, d = 91, sum = 108
c = 7, d = 93, sum = 108
c = 7, d = 95, sum = 90
c = 7, d = 112, sum = 75
c = 7, d = 113, sum = 120
c = 7, d = 115, sum = 90
c = 7, d = 117, sum = 90
c = 7, d = 119, sum = 75
c = 7, d = 120, sum = 100
c = 7, d = 121, sum = 160
c = 7, d = 123, sum = 120
c = 7, d = 125, sum = 120
c = 7, d = 127, sum = 100
c = 7, d = 248, sum = 55
c = 7, d = 249, sum = 88
c = 7, d = 251, sum = 66
c = 7, d = 253, sum = 66
c = 7, d = 255, sum = 55
c = 17, d = 0, sum = 42
c = 17, d = 1, sum = 56
c = 17, d = 2, sum = 66
c = 17, d = 3, sum = 88
c = 17, d = 4, sum = 66
c = 17, d = 5, sum = 88
c = 17, d = 6, sum = 108
c = 17, d = 7, sum = 144
c = 17, d = 14, sum = 75
c = 17, d = 19, sum = 66
c = 17, d = 21, sum = 66
c = 17, d = 23, sum = 108
c = 17, d = 31, sum = 75
c = 17, d = 34, sum = 54
c = 17, d = 35, sum = 72
c = 17, d = 38, sum = 90
c = 17, d = 39, sum = 120
c = 17, d = 46, sum = 72
c = 17, d = 47, sum = 96
c = 17, d = 55, sum = 90
c = 17, d = 63, sum = 72
c = 17, d = 68, sum = 54
c = 17, d = 69, sum = 72
c = 17, d = 70, sum = 90
c = 17, d = 71, sum = 120
c = 17, d = 78, sum = 72
c = 17, d = 79, sum = 96
c = 17, d = 85, sum = 54
c = 17, d = 87, sum = 90
c = 17, d = 95, sum = 72
c = 17, d = 102, sum = 81
c = 17, d = 103, sum = 108
c = 17, d = 110, sum = 78
c = 17, d = 111, sum = 104
c = 17, d = 119, sum = 81
c = 17, d = 127, sum = 78
c = 17, d = 238, sum = 42
c = 17, d = 239, sum = 56
c = 17, d = 255, sum = 42
c = 19, d = 0, sum = 55
c = 19, d = 1, sum = 88
c = 19, d = 3, sum = 66
c = 19, d = 4, sum = 90
c = 19, d = 5, sum = 144
c = 19, d = 7, sum = 108
c = 19, d = 12, sum = 75
c = 19, d = 13, sum = 120
c = 19, d = 17, sum = 66
c = 19, d = 21, sum = 108
c = 19, d = 23, sum = 90
c = 19, d = 29, sum = 90
c = 19, d = 31, sum = 75
c = 19, d = 32, sum = 60
c = 19, d = 33, sum = 96
c = 19, d = 35, sum = 72
c = 19, d = 36, sum = 100
c = 19, d = 37, sum = 160
c = 19, d = 39, sum = 120
c = 19, d = 44, sum = 90
c = 19, d = 45, sum = 144
c = 19, d = 47, sum = 108
c = 19, d = 49, sum = 72
c = 19, d = 53, sum = 120
c = 19, d = 55, sum = 100
c = 19, d = 61, sum = 108
c = 19, d = 63, sum = 90
c = 19, d = 68, sum = 75
c = 19, d = 69, sum = 120
c = 19, d = 71, sum = 90
c = 19, d = 76, sum = 75
c = 19, d = 77, sum = 120
c = 19, d = 79, sum = 90
c = 19, d = 85, sum = 90
c = 19, d = 87, sum = 75
c = 19, d = 93, sum = 90
c = 19, d = 95, sum = 75
c = 19, d = 100, sum = 90
c = 19, d = 101, sum = 144
c = 19, d = 103, sum = 108
c = 19, d = 108, sum = 100
c = 19, d = 109, sum = 160
c = 19, d = 111, sum = 120
c = 19, d = 117, sum = 108
c = 19, d = 119, sum = 90
c = 19, d = 125, sum = 120
c = 19, d = 127, sum = 100
c = 19, d = 236, sum = 55
c = 19, d = 237, sum = 88
c = 19, d = 239, sum = 66
c = 19, d = 253, sum = 66
c = 19, d = 255, sum = 55
c = 21, d = 0, sum = 55
c = 21, d = 1, sum = 88
c = 21, d = 2, sum = 90
c = 21, d = 3, sum = 144
c = 21, d = 5, sum = 66
c = 21, d = 7, sum = 108
c = 21, d = 10, sum = 75
c = 21, d = 11, sum = 120
c = 21, d = 17, sum = 66
c = 21, d = 19, sum = 108
c = 21, d = 23, sum = 90
c = 21, d = 27, sum = 90
c = 21, d = 31, sum = 75
c = 21, d = 34, sum = 75
c = 21, d = 35, sum = 120
c = 21, d = 39, sum = 90
c = 21, d = 42, sum = 75
c = 21, d = 43, sum = 120
c = 21, d = 47, sum = 90
c = 21, d = 55, sum = 75
c = 21, d = 59, sum = 90
c = 21, d = 63, sum = 75
c = 21, d = 64, sum = 60
c = 21, d = 65, sum = 96
c = 21, d = 66, sum = 100
c = 21, d = 67, sum = 160
c = 21, d = 69, sum = 72
c = 21, d = 71, sum = 120
c = 21, d = 74, sum = 90
c = 21, d = 75, sum = 144
c = 21, d = 79, sum = 108
c = 21, d = 81, sum = 72
c = 21, d = 83, sum = 120
c = 21, d = 85, sum = 60
c = 21, d = 87, sum = 100
c = 21, d = 91, sum = 108
c = 21, d = 95, sum = 90
c = 21, d = 98, sum = 90
c = 21, d = 99, sum = 144
c = 21, d = 103, sum = 108
c = 21, d = 106, sum = 100
c = 21, d = 107, sum = 160
c = 21, d = 111, sum = 120
c = 21, d = 115, sum = 108
c = 21, d = 119, sum = 90
c = 21, d = 123, sum = 120
c = 21, d = 127, sum = 100
c = 21, d = 234, sum = 55
c = 21, d = 235, sum = 88
c = 21, d = 239, sum = 66
c = 21, d = 251, sum = 66
c = 21, d = 255, sum = 55
c = 23, d = 0, sum = 81
c = 23, d = 1, sum = 144
c = 23, d = 3, sum = 108
c = 23, d = 5, sum = 108
c = 23, d = 7, sum = 90
c = 23, d = 8, sum = 90
c = 23, d = 9, sum = 160
c = 23, d = 11, sum = 120
c = 23, d = 13, sum = 120
c = 23, d = 17, sum = 108
c = 23, d = 19, sum = 90
c = 23, d = 21, sum = 90
c = 23, d = 25, sum = 120
c = 23, d = 27, sum = 100
c = 23, d = 29, sum = 100
c = 23, d = 31, sum = 90
c = 23, d = 32, sum = 90
c = 23, d = 33, sum = 160
c = 23, d = 35, sum = 120
c = 23, d = 37, sum = 120
c = 23, d = 39, sum = 100
c = 23, d = 40, sum = 108
c = 23, d = 41, sum = 192
c = 23, d = 43, sum = 144
c = 23, d = 45, sum = 144
c = 23, d = 47, sum = 120
c = 23, d = 49, sum = 120
c = 23, d = 53, sum = 100
c = 23, d = 55, sum = 90
c = 23, d = 57, sum = 144
c = 23, d = 59, sum = 120
c = 23, d = 61, sum = 120
c = 23, d = 63, sum = 108
c = 23, d = 64, sum = 90
c = 23, d = 65, sum = 160
c = 23, d = 67, sum = 120
c = 23, d = 69, sum = 120
c = 23, d = 71, sum = 100
c = 23, d = 72, sum = 108
c = 23, d = 73, sum = 192
c = 23, d = 75, sum = 144
c = 23, d = 77, sum = 144
c = 23, d = 79, sum = 120
c = 23, d = 81, sum = 120
c = 23, d = 83, sum = 100
c = 23, d = 85, sum = 100
c = 23, d = 87, sum = 90
c = 23, d = 89, sum = 144
c = 23, d = 91, sum = 120
c = 23, d = 93, sum = 120
c = 23, d = 95, sum = 108
c = 23, d = 96, sum = 108
c = 23, d = 97, sum = 192
c = 23, d = 99, sum = 144
c = 23, d = 101, sum = 144
c = 23, d = 103, sum = 120
c = 23, d = 104, sum = 144
c = 23, d = 105, sum = 256 Done! 232, 150
c = 23, d = 107, sum = 192
c = 23, d = 109, sum = 192
c = 23, d = 111, sum = 160
c = 23, d = 113, sum = 144
c = 23, d = 115, sum = 120
c = 23, d = 117, sum = 120
c = 23, d = 119, sum = 108
c = 23, d = 121, sum = 192
c = 23, d = 123, sum = 160
c = 23, d = 125, sum = 160
c = 23, d = 127, sum = 144
c = 23, d = 232, sum = 81
c = 23, d = 233, sum = 144
c = 23, d = 235, sum = 108
c = 23, d = 237, sum = 108
c = 23, d = 239, sum = 90
c = 23, d = 249, sum = 108
c = 23, d = 251, sum = 90
c = 23, d = 253, sum = 90
c = 23, d = 255, sum = 81
c = 31, d = 0, sum = 55
c = 31, d = 1, sum = 100
c = 31, d = 3, sum = 90
c = 31, d = 5, sum = 90
c = 31, d = 7, sum = 100
c = 31, d = 17, sum = 75
c = 31, d = 19, sum = 75
c = 31, d = 21, sum = 75
c = 31, d = 23, sum = 90
c = 31, d = 32, sum = 66
c = 31, d = 33, sum = 120
c = 31, d = 35, sum = 108
c = 31, d = 37, sum = 108
c = 31, d = 39, sum = 120
c = 31, d = 47, sum = 72
c = 31, d = 49, sum = 90
c = 31, d = 53, sum = 90
c = 31, d = 55, sum = 108
c = 31, d = 63, sum = 66
c = 31, d = 64, sum = 66
c = 31, d = 65, sum = 120
c = 31, d = 67, sum = 108
c = 31, d = 69, sum = 108
c = 31, d = 71, sum = 120
c = 31, d = 79, sum = 72
c = 31, d = 81, sum = 90
c = 31, d = 83, sum = 90
c = 31, d = 85, sum = 90
c = 31, d = 87, sum = 108
c = 31, d = 95, sum = 66
c = 31, d = 96, sum = 88
c = 31, d = 97, sum = 160
c = 31, d = 99, sum = 144
c = 31, d = 101, sum = 144
c = 31, d = 103, sum = 160
c = 31, d = 111, sum = 96
c = 31, d = 113, sum = 120
c = 31, d = 115, sum = 120
c = 31, d = 117, sum = 120
c = 31, d = 119, sum = 144
c = 31, d = 127, sum = 88
c = 31, d = 224, sum = 55
c = 31, d = 225, sum = 100
c = 31, d = 227, sum = 90
c = 31, d = 229, sum = 90
c = 31, d = 231, sum = 100
c = 31, d = 239, sum = 60
c = 31, d = 241, sum = 75
c = 31, d = 243, sum = 75
c = 31, d = 245, sum = 75
c = 31, d = 247, sum = 90
c = 31, d = 255, sum = 55
c = 55, d = 0, sum = 55
c = 55, d = 1, sum = 100
c = 55, d = 3, sum = 90
c = 55, d = 5, sum = 75
c = 55, d = 7, sum = 75
c = 55, d = 8, sum = 66
c = 55, d = 9, sum = 120
c = 55, d = 11, sum = 108
c = 55, d = 13, sum = 90
c = 55, d = 17, sum = 90
c = 55, d = 19, sum = 100
c = 55, d = 21, sum = 75
c = 55, d = 23, sum = 90
c = 55, d = 25, sum = 108
c = 55, d = 27, sum = 120
c = 55, d = 29, sum = 90
c = 55, d = 31, sum = 108
c = 55, d = 59, sum = 72
c = 55, d = 63, sum = 66
c = 55, d = 64, sum = 66
c = 55, d = 65, sum = 120
c = 55, d = 67, sum = 108
c = 55, d = 69, sum = 90
c = 55, d = 71, sum = 90
c = 55, d = 72, sum = 88
c = 55, d = 73, sum = 160
c = 55, d = 75, sum = 144
c = 55, d = 77, sum = 120
c = 55, d = 79, sum = 120
c = 55, d = 81, sum = 108
c = 55, d = 83, sum = 120
c = 55, d = 85, sum = 90
c = 55, d = 87, sum = 108
c = 55, d = 89, sum = 144
c = 55, d = 91, sum = 160
c = 55, d = 93, sum = 120
c = 55, d = 95, sum = 144
c = 55, d = 115, sum = 72
c = 55, d = 119, sum = 66
c = 55, d = 123, sum = 96
c = 55, d = 127, sum = 88
c = 55, d = 200, sum = 55
c = 55, d = 201, sum = 100
c = 55, d = 203, sum = 90
c = 55, d = 205, sum = 75
c = 55, d = 207, sum = 75
c = 55, d = 217, sum = 90
c = 55, d = 219, sum = 100
c = 55, d = 221, sum = 75
c = 55, d = 223, sum = 90
c = 55, d = 251, sum = 60
c = 55, d = 255, sum = 55
c = 63, d = 0, sum = 42
c = 63, d = 1, sum = 78
c = 63, d = 3, sum = 81
c = 63, d = 5, sum = 72
c = 63, d = 7, sum = 90
c = 63, d = 17, sum = 72
c = 63, d = 19, sum = 90
c = 63, d = 21, sum = 75
c = 63, d = 23, sum = 108
c = 63, d = 31, sum = 66
c = 63, d = 55, sum = 66
c = 63, d = 64, sum = 56
c = 63, d = 65, sum = 104
c = 63, d = 67, sum = 108
c = 63, d = 69, sum = 96
c = 63, d = 71, sum = 120
c = 63, d = 79, sum = 72
c = 63, d = 81, sum = 96
c = 63, d = 83, sum = 120
c = 63, d = 85, sum = 100
c = 63, d = 87, sum = 144
c = 63, d = 95, sum = 88
c = 63, d = 115, sum = 72
c = 63, d = 119, sum = 88
c = 63, d = 127, sum = 56
c = 63, d = 192, sum = 42
c = 63, d = 193, sum = 78
c = 63, d = 195, sum = 81
c = 63, d = 197, sum = 72
c = 63, d = 199, sum = 90
c = 63, d = 207, sum = 54
c = 63, d = 209, sum = 72
c = 63, d = 211, sum = 90
c = 63, d = 213, sum = 75
c = 63, d = 215, sum = 108
c = 63, d = 223, sum = 66
c = 63, d = 243, sum = 54
c = 63, d = 247, sum = 66
c = 63, d = 255, sum = 42
c = 85, d = 0, sum = 36
c = 85, d = 1, sum = 60
c = 85, d = 2, sum = 60
c = 85, d = 3, sum = 100
c = 85, d = 5, sum = 54
c = 85, d = 7, sum = 90
c = 85, d = 10, sum = 54
c = 85, d = 11, sum = 90
c = 85, d = 17, sum = 54
c = 85, d = 19, sum = 90
c = 85, d = 21, sum = 60
c = 85, d = 23, sum = 100
c = 85, d = 27, sum = 81
c = 85, d = 31, sum = 90
c = 85, d = 34, sum = 54
c = 85, d = 35, sum = 90
c = 85, d = 39, sum = 81
c = 85, d = 42, sum = 60
c = 85, d = 43, sum = 100
c = 85, d = 47, sum = 90
c = 85, d = 55, sum = 90
c = 85, d = 59, sum = 90
c = 85, d = 63, sum = 100
c = 85, d = 87, sum = 60
c = 85, d = 95, sum = 54
c = 85, d = 119, sum = 54
c = 85, d = 127, sum = 60
c = 85, d = 170, sum = 36
c = 85, d = 171, sum = 60
c = 85, d = 175, sum = 54
c = 85, d = 187, sum = 54
c = 85, d = 191, sum = 60
c = 85, d = 255, sum = 36
c = 87, d = 0, sum = 55
c = 87, d = 1, sum = 100
c = 87, d = 3, sum = 75
c = 87, d = 5, sum = 90
c = 87, d = 7, sum = 75
c = 87, d = 8, sum = 66
c = 87, d = 9, sum = 120
c = 87, d = 11, sum = 90
c = 87, d = 13, sum = 108
c = 87, d = 17, sum = 90
c = 87, d = 19, sum = 75
c = 87, d = 21, sum = 100
c = 87, d = 23, sum = 90
c = 87, d = 25, sum = 108
c = 87, d = 27, sum = 90
c = 87, d = 29, sum = 120
c = 87, d = 31, sum = 108
c = 87, d = 32, sum = 66
c = 87, d = 33, sum = 120
c = 87, d = 35, sum = 90
c = 87, d = 37, sum = 108
c = 87, d = 39, sum = 90
c = 87, d = 40, sum = 88
c = 87, d = 41, sum = 160
c = 87, d = 43, sum = 120
c = 87, d = 45, sum = 144
c = 87, d = 47, sum = 120
c = 87, d = 49, sum = 108
c = 87, d = 53, sum = 120
c = 87, d = 55, sum = 108
c = 87, d = 57, sum = 144
c = 87, d = 59, sum = 120
c = 87, d = 61, sum = 160
c = 87, d = 63, sum = 144
c = 87, d = 85, sum = 60
c = 87, d = 93, sum = 72
c = 87, d = 95, sum = 66
c = 87, d = 117, sum = 72
c = 87, d = 119, sum = 66
c = 87, d = 125, sum = 96
c = 87, d = 127, sum = 88
c = 87, d = 168, sum = 55
c = 87, d = 169, sum = 100
c = 87, d = 171, sum = 75
c = 87, d = 173, sum = 90
c = 87, d = 175, sum = 75
c = 87, d = 185, sum = 90
c = 87, d = 187, sum = 75
c = 87, d = 189, sum = 100
c = 87, d = 191, sum = 90
c = 87, d = 253, sum = 60
c = 87, d = 255, sum = 55
c = 95, d = 0, sum = 42
c = 95, d = 1, sum = 78
c = 95, d = 3, sum = 72
c = 95, d = 5, sum = 81
c = 95, d = 7, sum = 90
c = 95, d = 17, sum = 72
c = 95, d = 19, sum = 75
c = 95, d = 21, sum = 90
c = 95, d = 23, sum = 108
c = 95, d = 31, sum = 66
c = 95, d = 32, sum = 56
c = 95, d = 33, sum = 104
c = 95, d = 35, sum = 96
c = 95, d = 37, sum = 108
c = 95, d = 39, sum = 120
c = 95, d = 47, sum = 72
c = 95, d = 49, sum = 96
c = 95, d = 53, sum = 120
c = 95, d = 55, sum = 144
c = 95, d = 63, sum = 88
c = 95, d = 85, sum = 54
c = 95, d = 87, sum = 66
c = 95, d = 117, sum = 72
c = 95, d = 119, sum = 88
c = 95, d = 127, sum = 56
c = 95, d = 160, sum = 42
c = 95, d = 161, sum = 78
c = 95, d = 163, sum = 72
c = 95, d = 165, sum = 81
c = 95, d = 167, sum = 90
c = 95, d = 175, sum = 54
c = 95, d = 177, sum = 72
c = 95, d = 179, sum = 75
c = 95, d = 181, sum = 90
c = 95, d = 183, sum = 108
c = 95, d = 191, sum = 66
c = 95, d = 245, sum = 54
c = 95, d = 247, sum = 66
c = 95, d = 255, sum = 42
c = 119, d = 0, sum = 42
c = 119, d = 1, sum = 78
c = 119, d = 3, sum = 72
c = 119, d = 5, sum = 72
c = 119, d = 7, sum = 75
c = 119, d = 8, sum = 56
c = 119, d = 9, sum = 104
c = 119, d = 11, sum = 96
c = 119, d = 13, sum = 96
c = 119, d = 17, sum = 81
c = 119, d = 19, sum = 90
c = 119, d = 21, sum = 90
c = 119, d = 23, sum = 108
c = 119, d = 25, sum = 108
c = 119, d = 27, sum = 120
c = 119, d = 29, sum = 120
c = 119, d = 31, sum = 144
c = 119, d = 55, sum = 66
c = 119, d = 59, sum = 72
c = 119, d = 63, sum = 88
